intrinsic,argument_preparation,a64_instruction,result,supported_architecture
float32_t vpmaxs_f32(float32x2_t a),a → Vn.2S,"FMAXP Sd,Vn.2S",Sd,ARMv8(AArch64)
float64_t vpmaxqd_f64(float64x2_t a),a → Vn.2D,"FMAXP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vpmins_f32(float32x2_t a),a → Vn.2S,"FMINP Sd,Vn.2S",Sd,ARMv8(AArch64)
float64_t vpminqd_f64(float64x2_t a),a → Vn.2D,"FMINP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vpmaxnms_f32(float32x2_t a),a → Vn.2S,"FMAXNMP Sd,Vn.2S",Sd,ARMv8(AArch64)
float64_t vpmaxnmqd_f64(float64x2_t a),a → Vn.2D,"FMAXNMP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vpminnms_f32(float32x2_t a),a → Vn.2S,"FMINNMP Sd,Vn.2S",Sd,ARMv8(AArch64)
float64_t vpminnmqd_f64(float64x2_t a),a → Vn.2D,"FMINNMP Dd,Vn.2D",Dd,ARMv8(AArch64)
int8_t vaddv_s8(int8x8_t a),a → Vn.8B,"ADDV Bd,Vn.8B",Bd,ARMv8(AArch64)
int8_t vaddvq_s8(int8x16_t a),a → Vn.16B,"ADDV Bd,Vn.16B",Bd,ARMv8(AArch64)
int16_t vaddv_s16(int16x4_t a),a → Vn.4H,"ADDV Hd,Vn.4H",Hd,ARMv8(AArch64)
int16_t vaddvq_s16(int16x8_t a),a → Vn.8H,"ADDV Hd,Vn.8H",Hd,ARMv8(AArch64)
int32_t vaddv_s32(int32x2_t a),"a → Vn.2S
a → Vm.2S","ADDP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
int32_t vaddvq_s32(int32x4_t a),a → Vn.4S,"ADDV Sd,Vn.4S",Sd,ARMv8(AArch64)
int64_t vaddvq_s64(int64x2_t a),a → Vn.2D,"ADDP Dd,Vn.2D",Dd,ARMv8(AArch64)
uint8_t vaddv_u8(uint8x8_t a),a → Vn.8B,"ADDV Bd,Vn.8B",Bd,ARMv8(AArch64)
uint8_t vaddvq_u8(uint8x16_t a),a → Vn.16B,"ADDV Bd,Vn.16B",Bd,ARMv8(AArch64)
uint16_t vaddv_u16(uint16x4_t a),a → Vn.4H,"ADDV Hd,Vn.4H",Hd,ARMv8(AArch64)
uint16_t vaddvq_u16(uint16x8_t a),a → Vn.8H,"ADDV Hd,Vn.8H",Hd,ARMv8(AArch64)
uint32_t vaddv_u32(uint32x2_t a),"a → Vn.2S
a → Vm.2S","ADDP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
uint32_t vaddvq_u32(uint32x4_t a),a → Vn.4S,"ADDV Sd,Vn.4S",Sd,ARMv8(AArch64)
uint64_t vaddvq_u64(uint64x2_t a),a → Vn.2D,"ADDP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vaddv_f32(float32x2_t a),a → Vn.2S,"FADDP Sd,Vn.2S",Sd,ARMv8(AArch64)
float32_t vaddvq_f32(float32x4_t a),"a → Vn.4S
a → Vm.4S","FADDP Vt.4S,Vn.4S,Vm.4S
FADDP Sd,Vt.2S",Sd,ARMv8(AArch64)
float64_t vaddvq_f64(float64x2_t a),a → Vn.2D,"FADDP Dd,Vn.2D",Dd,ARMv8(AArch64)
int16_t vaddlv_s8(int8x8_t a),a → Vn.8B,"SADDLV Hd,Vn.8B",Hd,ARMv8(AArch64)
int16_t vaddlvq_s8(int8x16_t a),a → Vn.16B,"SADDLV Hd,Vn.16B",Hd,ARMv8(AArch64)
int32_t vaddlv_s16(int16x4_t a),a → Vn.4H,"SADDLV Sd,Vn.4H",Sd,ARMv8(AArch64)
int32_t vaddlvq_s16(int16x8_t a),a → Vn.8H,"SADDLV Sd,Vn.8H",Sd,ARMv8(AArch64)
int64_t vaddlv_s32(int32x2_t a),a → Vn.2S,"SADDLP Vd.1D,Vn.2S",Dd,ARMv8(AArch64)
int64_t vaddlvq_s32(int32x4_t a),a → Vn.4S,"SADDLV Dd,Vn.4S",Dd,ARMv8(AArch64)
uint16_t vaddlv_u8(uint8x8_t a),a → Vn.8B,"UADDLV Hd,Vn.8B",Hd,ARMv8(AArch64)
uint16_t vaddlvq_u8(uint8x16_t a),a → Vn.16B,"UADDLV Hd,Vn.16B",Hd,ARMv8(AArch64)
uint32_t vaddlv_u16(uint16x4_t a),a → Vn.4H,"UADDLV Sd,Vn.4H",Sd,ARMv8(AArch64)
uint32_t vaddlvq_u16(uint16x8_t a),a → Vn.8H,"UADDLV Sd,Vn.8H",Sd,ARMv8(AArch64)
uint64_t vaddlv_u32(uint32x2_t a),a → Vn.2S,"UADDLP Vd.1D,Vn.2S",Dd,ARMv8(AArch64)
uint64_t vaddlvq_u32(uint32x4_t a),a → Vn.4S,"UADDLV Dd,Vn.4S",Dd,ARMv8(AArch64)
int8_t vmaxv_s8(int8x8_t a),a → Vn.8B,"SMAXV Bd,Vn.8B",Bd,ARMv8(AArch64)
int8_t vmaxvq_s8(int8x16_t a),a → Vn.16B,"SMAXV Bd,Vn.16B",Bd,ARMv8(AArch64)
int16_t vmaxv_s16(int16x4_t a),a → Vn.4H,"SMAXV Hd,Vn.4H",Hd,ARMv8(AArch64)
int16_t vmaxvq_s16(int16x8_t a),a → Vn.8H,"SMAXV Hd,Vn.8H",Hd,ARMv8(AArch64)
int32_t vmaxv_s32(int32x2_t a),"a → Vn.2S
a → Vm.2S","SMAXP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
int32_t vmaxvq_s32(int32x4_t a),a → Vn.4S,"SMAXV Sd,Vn.4S",Sd,ARMv8(AArch64)
uint8_t vmaxv_u8(uint8x8_t a),a → Vn.8B,"UMAXV Bd,Vn.8B",Bd,ARMv8(AArch64)
uint8_t vmaxvq_u8(uint8x16_t a),a → Vn.16B,"UMAXV Bd,Vn.16B",Bd,ARMv8(AArch64)
uint16_t vmaxv_u16(uint16x4_t a),a → Vn.4H,"UMAXV Hd,Vn.4H",Hd,ARMv8(AArch64)
uint16_t vmaxvq_u16(uint16x8_t a),a → Vn.8H,"UMAXV Hd,Vn.8H",Hd,ARMv8(AArch64)
uint32_t vmaxv_u32(uint32x2_t a),"a → Vn.2S
a → Vm.2S","UMAXP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
uint32_t vmaxvq_u32(uint32x4_t a),a → Vn.4S,"UMAXV Sd,Vn.4S",Sd,ARMv8(AArch64)
float32_t vmaxv_f32(float32x2_t a),a → Vn.2S,"FMAXP Sd,Vn.2S",Sd,ARMv8(AArch64)
float32_t vmaxvq_f32(float32x4_t a),a → Vn.4S,"FMAXV Sd,Vn.4S",Sd,ARMv8(AArch64)
float64_t vmaxvq_f64(float64x2_t a),a → Vn.2D,"FMAXP Dd,Vn.2D",Dd,ARMv8(AArch64)
int8_t vminv_s8(int8x8_t a),a → Vn.8B,"SMINV Bd,Vn.8B",Bd,ARMv8(AArch64)
int8_t vminvq_s8(int8x16_t a),a → Vn.16B,"SMINV Bd,Vn.16B",Bd,ARMv8(AArch64)
int16_t vminv_s16(int16x4_t a),a → Vn.4H,"SMINV Hd,Vn.4H",Hd,ARMv8(AArch64)
int16_t vminvq_s16(int16x8_t a),a → Vn.8H,"SMINV Hd,Vn.8H",Hd,ARMv8(AArch64)
int32_t vminv_s32(int32x2_t a),"a → Vn.2S
a → Vm.2S","SMINP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
int32_t vminvq_s32(int32x4_t a),a → Vn.4S,"SMINV Sd,Vn.4S",Sd,ARMv8(AArch64)
uint8_t vminv_u8(uint8x8_t a),a → Vn.8B,"UMINV Bd,Vn.8B",Bd,ARMv8(AArch64)
uint8_t vminvq_u8(uint8x16_t a),a → Vn.16B,"UMINV Bd,Vn.16B",Bd,ARMv8(AArch64)
uint16_t vminv_u16(uint16x4_t a),a → Vn.4H,"UMINV Hd,Vn.4H",Hd,ARMv8(AArch64)
uint16_t vminvq_u16(uint16x8_t a),a → Vn.8H,"UMINV Hd,Vn.8H",Hd,ARMv8(AArch64)
uint32_t vminv_u32(uint32x2_t a),"a → Vn.2S
a → Vm.2S","UMINP Vd.2S,Vn.2S,Vm.2S",Vd.S[0],ARMv8(AArch64)
uint32_t vminvq_u32(uint32x4_t a),a → Vn.4S,"UMINV Sd,Vn.4S",Sd,ARMv8(AArch64)
float32_t vminv_f32(float32x2_t a),a → Vn.2S,"FMINP Sd,Vn.2S",Sd,ARMv8(AArch64)
float32_t vminvq_f32(float32x4_t a),a → Vn.4S,"FMINV Sd,Vn.4S",Sd,ARMv8(AArch64)
float64_t vminvq_f64(float64x2_t a),a → Vn.2D,"FMINP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vmaxnmv_f32(float32x2_t a),a → Vn.2S,"FMAXNMP Sd,Vn.2S",Sd,ARMv8(AArch64)
float32_t vmaxnmvq_f32(float32x4_t a),a → Vn.4S,"FMAXNMV Sd,Vn.4S",Sd,ARMv8(AArch64)
float64_t vmaxnmvq_f64(float64x2_t a),a → Vn.2D,"FMAXNMP Dd,Vn.2D",Dd,ARMv8(AArch64)
float32_t vminnmv_f32(float32x2_t a),a → Vn.2S,"FMINNMP Sd,Vn.2S",Sd,ARMv8(AArch64)
float32_t vminnmvq_f32(float32x4_t a),a → Vn.4S,"FMINNMV Sd,Vn.4S",Sd,ARMv8(AArch64)
float64_t vminnmvq_f64(float64x2_t a),a → Vn.2D,"FMINNMP Dd,Vn.2D",Dd,ARMv8(AArch64)
"int8x8_t vext_s8(int8x8_t a, int8x8_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 7","EXT Vd.8B,Vn.8B,Vm.8B,#n",Vd.8B,"ARMv7
ARMv8"
"int8x16_t vextq_s8(int8x16_t a, int8x16_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 15","EXT Vd.16B,Vn.16B,Vm.16B,#n",Vd.16B,"ARMv7
ARMv8"
"int16x4_t vext_s16(int16x4_t a, int16x4_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 3","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<1)",Vd.8B,"ARMv7
ARMv8"
"int16x8_t vextq_s16(int16x8_t a, int16x8_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 7","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<1)",Vd.16B,"ARMv7
ARMv8"
"int32x2_t vext_s32(int32x2_t a, int32x2_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 1","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<2)",Vd.8B,"ARMv7
ARMv8"
"int32x4_t vextq_s32(int32x4_t a, int32x4_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 3","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<2)",Vd.16B,"ARMv7
ARMv8"
"int64x1_t vext_s64(int64x1_t a, int64x1_t b, const int n)","a → Vn.8B
b → Vm.8B
n == 0","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<3)",Vd.8B,"ARMv7
ARMv8"
"int64x2_t vextq_s64(int64x2_t a, int64x2_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 1","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<3)",Vd.16B,"ARMv7
ARMv8"
"uint8x8_t vext_u8(uint8x8_t a, uint8x8_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 7","EXT Vd.8B,Vn.8B,Vm.8B,#n",Vd.8B,"ARMv7
ARMv8"
"uint8x16_t vextq_u8(uint8x16_t a, uint8x16_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 15","EXT Vd.16B,Vn.16B,Vm.16B,#n",Vd.16B,"ARMv7
ARMv8"
"uint16x4_t vext_u16(uint16x4_t a, uint16x4_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 3","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<1)",Vd.8B,"ARMv7
ARMv8"
"uint16x8_t vextq_u16(uint16x8_t a, uint16x8_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 7","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<1)",Vd.16B,"ARMv7
ARMv8"
"uint32x2_t vext_u32(uint32x2_t a, uint32x2_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 1","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<2)",Vd.8B,"ARMv7
ARMv8"
"uint32x4_t vextq_u32(uint32x4_t a, uint32x4_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 3","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<2)",Vd.16B,"ARMv7
ARMv8"
"uint64x1_t vext_u64(uint64x1_t a, uint64x1_t b, const int n)","a → Vn.8B
b → Vm.8B
n == 0","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<3)",Vd.8B,"ARMv7
ARMv8"
"uint64x2_t vextq_u64(uint64x2_t a, uint64x2_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 1","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<3)",Vd.16B,"ARMv7
ARMv8"
"poly64x1_t vext_p64(poly64x1_t a, poly64x1_t b, const int n)","a → Vn.8B
b → Vm.8B
n == 0","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<3)",Vd.8B,ARMv8
"poly64x2_t vextq_p64(poly64x2_t a, poly64x2_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 1","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<3)",Vd.16B,ARMv8
"float32x2_t vext_f32(float32x2_t a, float32x2_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 1","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<2)",Vd.8B,"ARMv7
ARMv8"
"float32x4_t vextq_f32(float32x4_t a, float32x4_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 3","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<2)",Vd.16B,"ARMv7
ARMv8"
"float64x1_t vext_f64(float64x1_t a, float64x1_t b, const int n)","a → Vn.8B
b → Vm.8B
n == 0","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<3)",Vd.8B,ARMv8(AArch64)
"float64x2_t vextq_f64(float64x2_t a, float64x2_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 1","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<3)",Vd.16B,ARMv8(AArch64)
"poly8x8_t vext_p8(poly8x8_t a, poly8x8_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 7","EXT Vd.8B,Vn.8B,Vm.8B,#n",Vd.8B,"ARMv7
ARMv8"
"poly8x16_t vextq_p8(poly8x16_t a, poly8x16_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 15","EXT Vd.16B,Vn.16B,Vm.16B,#n",Vd.16B,"ARMv7
ARMv8"
"poly16x4_t vext_p16(poly16x4_t a, poly16x4_t b, const int n)","a → Vn.8B
b → Vm.8B
0 <= n <= 3","EXT Vd.8B,Vn.8B,Vm.8B,#(n<<1)",Vd.8B,"ARMv7
ARMv8"
"poly16x8_t vextq_p16(poly16x8_t a, poly16x8_t b, const int n)","a → Vn.16B
b → Vm.16B
0 <= n <= 7","EXT Vd.16B,Vn.16B,Vm.16B,#(n<<1)",Vd.16B,"ARMv7
ARMv8"
int8x8_t vrev64_s8(int8x8_t vec),vec → Vn.8B,"REV64 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
int8x16_t vrev64q_s8(int8x16_t vec),vec → Vn.16B,"REV64 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
int16x4_t vrev64_s16(int16x4_t vec),vec → Vn.4H,"REV64 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
int16x8_t vrev64q_s16(int16x8_t vec),vec → Vn.8H,"REV64 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
int32x2_t vrev64_s32(int32x2_t vec),vec → Vn.2S,"REV64 Vd.2S,Vn.2S",Vd.2S,"ARMv7
ARMv8"
int32x4_t vrev64q_s32(int32x4_t vec),vec → Vn.4S,"REV64 Vd.4S,Vn.4S",Vd.4S,"ARMv7
ARMv8"
uint8x8_t vrev64_u8(uint8x8_t vec),vec → Vn.8B,"REV64 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
uint8x16_t vrev64q_u8(uint8x16_t vec),vec → Vn.16B,"REV64 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
uint16x4_t vrev64_u16(uint16x4_t vec),vec → Vn.4H,"REV64 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
uint16x8_t vrev64q_u16(uint16x8_t vec),vec → Vn.8H,"REV64 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
uint32x2_t vrev64_u32(uint32x2_t vec),vec → Vn.2S,"REV64 Vd.2S,Vn.2S",Vd.2S,"ARMv7
ARMv8"
uint32x4_t vrev64q_u32(uint32x4_t vec),vec → Vn.4S,"REV64 Vd.4S,Vn.4S",Vd.4S,"ARMv7
ARMv8"
float32x2_t vrev64_f32(float32x2_t vec),vec → Vn.2S,"REV64 Vd.2S,Vn.2S",Vd.2S,"ARMv7
ARMv8"
float32x4_t vrev64q_f32(float32x4_t vec),vec → Vn.4S,"REV64 Vd.4S,Vn.4S",Vd.4S,"ARMv7
ARMv8"
poly8x8_t vrev64_p8(poly8x8_t vec),vec → Vn.8B,"REV64 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
poly8x16_t vrev64q_p8(poly8x16_t vec),vec → Vn.16B,"REV64 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
poly16x4_t vrev64_p16(poly16x4_t vec),vec → Vn.4H,"REV64 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
poly16x8_t vrev64q_p16(poly16x8_t vec),vec → Vn.8H,"REV64 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
int8x8_t vrev32_s8(int8x8_t vec),vec → Vn.8B,"REV32 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
int8x16_t vrev32q_s8(int8x16_t vec),vec → Vn.16B,"REV32 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
int16x4_t vrev32_s16(int16x4_t vec),vec → Vn.4H,"REV32 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
int16x8_t vrev32q_s16(int16x8_t vec),vec → Vn.8H,"REV32 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
uint8x8_t vrev32_u8(uint8x8_t vec),vec → Vn.8B,"REV32 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
uint8x16_t vrev32q_u8(uint8x16_t vec),vec → Vn.16B,"REV32 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
uint16x4_t vrev32_u16(uint16x4_t vec),vec → Vn.4H,"REV32 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
uint16x8_t vrev32q_u16(uint16x8_t vec),vec → Vn.8H,"REV32 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
poly8x8_t vrev32_p8(poly8x8_t vec),vec → Vn.8B,"REV32 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
poly8x16_t vrev32q_p8(poly8x16_t vec),vec → Vn.16B,"REV32 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
poly16x4_t vrev32_p16(poly16x4_t vec),vec → Vn.4H,"REV32 Vd.4H,Vn.4H",Vd.4H,"ARMv7
ARMv8"
poly16x8_t vrev32q_p16(poly16x8_t vec),vec → Vn.8H,"REV32 Vd.8H,Vn.8H",Vd.8H,"ARMv7
ARMv8"
int8x8_t vrev16_s8(int8x8_t vec),vec → Vn.8B,"REV16 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
int8x16_t vrev16q_s8(int8x16_t vec),vec → Vn.16B,"REV16 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
uint8x8_t vrev16_u8(uint8x8_t vec),vec → Vn.8B,"REV16 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
uint8x16_t vrev16q_u8(uint8x16_t vec),vec → Vn.16B,"REV16 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
poly8x8_t vrev16_p8(poly8x8_t vec),vec → Vn.8B,"REV16 Vd.8B,Vn.8B",Vd.8B,"ARMv7
ARMv8"
poly8x16_t vrev16q_p8(poly8x16_t vec),vec → Vn.16B,"REV16 Vd.16B,Vn.16B",Vd.16B,"ARMv7
ARMv8"
"int8x8_t vzip1_s8(int8x8_t a, int8x8_t b)","a → Vn.8B
b → Vm.8B","ZIP1 Vd.8B,Vn.8B,Vm.8B",Vd.8B,ARMv8(AArch64)
"int8x16_t vzip1q_s8(int8x16_t a, int8x16_t b)","a → Vn.16B
b → Vm.16B","ZIP1 Vd.16B,Vn.16B,Vm.16B",Vd.16B,ARMv8(AArch64)
"int16x4_t vzip1_s16(int16x4_t a, int16x4_t b)","a → Vn.4H
b → Vm.4H","ZIP1 Vd.4H,Vn.4H,Vm.4H",Vd.4H,ARMv8(AArch64)
"int16x8_t vzip1q_s16(int16x8_t a, int16x8_t b)","a → Vn.8H
b → Vm.8H","ZIP1 Vd.8H,Vn.8H,Vm.8H",Vd.8H,ARMv8(AArch64)
"int32x2_t vzip1_s32(int32x2_t a, int32x2_t b)","a → Vn.2S
b → Vm.2S","ZIP1 Vd.2S,Vn.2S,Vm.2S",Vd.2S,ARMv8(AArch64)
"int32x4_t vzip1q_s32(int32x4_t a, int32x4_t b)","a → Vn.4S
b → Vm.4S","ZIP1 Vd.4S,Vn.4S,Vm.4S",Vd.4S,ARMv8(AArch64)
"int64x2_t vzip1q_s64(int64x2_t a, int64x2_t b)","a → Vn.2D
b → Vm.2D","ZIP1 Vd.2D,Vn.2D,Vm.2D",Vd.2D,ARMv8(AArch64)
"uint8x8_t vzip1_u8(uint8x8_t a, uint8x8_t b)","a → Vn.8B
b → Vm.8B","ZIP1 Vd.8B,Vn.8B,Vm.8B",Vd.8B,ARMv8(AArch64)
"uint8x16_t vzip1q_u8(uint8x16_t a, uint8x16_t b)","a → Vn.16B
b → Vm.16B","ZIP1 Vd.16B,Vn.16B,Vm.16B",Vd.16B,ARMv8(AArch64)
"uint16x4_t vzip1_u16(uint16x4_t a, uint16x4_t b)","a → Vn.4H
b → Vm.4H","ZIP1 Vd.4H,Vn.4H,Vm.4H",Vd.4H,ARMv8(AArch64)
"uint16x8_t vzip1q_u16(uint16x8_t a, uint16x8_t b)","a → Vn.8H
b → Vm.8H","ZIP1 Vd.8H,Vn.8H,Vm.8H",Vd.8H,ARMv8(AArch64)
"uint32x2_t vzip1_u32(uint32x2_t a, uint32x2_t b)","a → Vn.2S
b → Vm.2S","ZIP1 Vd.2S,Vn.2S,Vm.2S",Vd.2S,ARMv8(AArch64)
"uint32x4_t vzip1q_u32(uint32x4_t a, uint32x4_t b)","a → Vn.4S
b → Vm.4S","ZIP1 Vd.4S,Vn.4S,Vm.4S",Vd.4S,ARMv8(AArch64)
"uint64x2_t vzip1q_u64(uint64x2_t a, uint64x2_t b)","a → Vn.2D
b → Vm.2D","ZIP1 Vd.2D,Vn.2D,Vm.2D",Vd.2D,ARMv8(AArch64)
"poly64x2_t vzip1q_p64(poly64x2_t a, poly64x2_t b)","a → Vn.2D
b → Vm.2D","ZIP1 Vd.2D,Vn.2D,Vm.2D",Vd.2D,ARMv8(AArch64)
"float32x2_t vzip1_f32(float32x2_t a, float32x2_t b)","a → Vn.2S
b → Vm.2S","ZIP1 Vd.2S,Vn.2S,Vm.2S",Vd.2S,ARMv8(AArch64)
"float32x4_t vzip1q_f32(float32x4_t a, float32x4_t b)","a → Vn.4S
b → Vm.4S","ZIP1 Vd.4S,Vn.4S,Vm.4S",Vd.4S,ARMv8(AArch64)
"float64x2_t vzip1q_f64(float64x2_t a, float64x2_t b)","a → Vn.2D
b → Vm.2D","ZIP1 Vd.2D,Vn.2D,Vm.2D",Vd.2D,ARMv8(AArch64)
"poly8x8_t vzip1_p8(poly8x8_t a, poly8x8_t b)","a → Vn.8B
b → Vm.8B","ZIP1 Vd.8B,Vn.8B,Vm.8B",Vd.8B,ARMv8(AArch64)
"poly8x16_t vzip1q_p8(poly8x16_t a, poly8x16_t b)","a → Vn.16B
b → Vm.16B","ZIP1 Vd.16B,Vn.16B,Vm.16B",Vd.16B,ARMv8(AArch64)
"poly16x4_t vzip1_p16(poly16x4_t a, poly16x4_t b)","a → Vn.4H
b → Vm.4H","ZIP1 Vd.4H,Vn.4H,Vm.4H",Vd.4H,ARMv8(AArch64)
"poly16x8_t vzip1q_p16(poly16x8_t a, poly16x8_t b)","a → Vn.8H
b → Vm.8H","ZIP1 Vd.8H,Vn.8H,Vm.8H",Vd.8H,ARMv8(AArch64)
"int8x8_t vzip2_s8(int8x8_t a, int8x8_t b)","a → Vn.8B
b → Vm.8B","ZIP2 Vd.8B,Vn.8B,Vm.8B",Vd.8B,ARMv8(AArch64)
"int8x16_t vzip2q_s8(int8x16_t a, int8x16_t b)","a → Vn.16B
b → Vm.16B","ZIP2 Vd.16B,Vn.16B,Vm.16B",Vd.16B,ARMv8(AArch64)
"int16x4_t vzip2_s16(int16x4_t a, int16x4_t b)","a → Vn.4H
b → Vm.4H","ZIP2 Vd.4H,Vn.4H,Vm.4H",Vd.4H,ARMv8(AArch64)
"int16x8_t vzip2q_s16(int16x8_t a, int16x8_t b)","a → Vn.8H
b → Vm.8H","ZIP2 Vd.8H,Vn.8H,Vm.8H",Vd.8H,ARMv8(AArch64)
"int32x2_t vzip2_s32(int32x2_t a, int32x2_t b)","a → Vn.2S
b → Vm.2S","ZIP2 Vd.2S,Vn.2S,Vm.2S",Vd.2S,ARMv8(AArch64)
"int32x4_t vzip2q_s32(int32x4_t a, int32x4_t b)","a → Vn.4S
b → Vm.4S","ZIP2 Vd.4S,Vn.4S,Vm.4S",Vd.4S,ARMv8(AArch64)
"int64x2_t vzip2q_s64(int64x2_t a, int64x2_t b)","a → Vn.2D
b → Vm.2D","ZIP2 Vd.2D,Vn.2D,Vm.2D",Vd.2D,ARMv8(AArch64)
"uint8x8_t vzip2_u8(uint8x8_t a, uint8x8_t b)","a → Vn.8B
b → Vm.8B","ZIP2 Vd.8B,Vn.8B,Vm.8B",Vd.8B,ARMv8(AArch64)
"uint8x16_t vzip2q_u8(uint8x16_t a, uint8x16_t b)","a → Vn.16B
b → Vm.16B","ZIP2 Vd.16B,Vn.16B,Vm.16B",Vd.16B,ARMv8(AArch64)
"uint16x4_t vzip2_u16(uint16x4_t a, uint16x4_t b)","a → Vn.4H
b → Vm.4H","ZIP2 Vd.4H,Vn.4H,Vm.4H",Vd.4H,ARMv8(AArch64)
"uint16x8_t vzip2q_u16(uint16x8_t a, uint16x8_t b)","a → Vn.8H
b → Vm.8H","ZIP2 Vd.8H,Vn.8H,Vm.8H",Vd.8H,ARMv8(AArch64)
"uint32x2_t vzip2_u32(uint32x2_t a, uint32x2_t b)","a → Vn.2S
b → Vm.2S","ZIP2 Vd.2S,Vn.2S,Vm.2S",Vd.2S,ARMv8(AArch64)
"uint32x4_t vzip2q_u32(uint32x4_t a, uint32x4_t b)","a → Vn.4S
b → Vm.4S","ZIP2 Vd.4S,Vn.4S,Vm.4S",Vd.4S,ARMv8(AArch64)
